LABEL,CATEGORY,FLOWIAT_MEAN,FLOWIAT_MIN,FLOWIAT_MAX,FLOWIAT_STD,FIAT_MEAN,FIAT_MIN,FIAT_MAX,FIAT_STD,BIAT_MEAN,BIAT_MIN,BIAT_MAX,BIAT_STD,ACTIVE_MEAN,ACTIVE_MIN,ACTIVE_MAX,ACTIVE_STD,IDLE_MEAN,IDLE_MIN,IDLE_MAX,IDLE_STD,DURATION,FB_PSEC,FP_SEC,FIRST_PACKET_DIR_0,FIRST_PACKET_DIR_1,FIRST_PACKET_DIR_2,FIRST_PACKET_DIR_3,FIRST_PACKET_DIR_4,FIRST_PACKET_DIR_5,FIRST_PACKET_DIR_6,FIRST_PACKET_DIR_7,FIRST_PACKET_DIR_8,FIRST_PACKET_DIR_9,INCOMING_BURSTS_MEAN,INCOMING_BURSTS_COUNT,INCOMING_BURSTS_LONGEST,OUTGOING_BURSTS_MEAN,OUTGOING_BURSTS_COUNT,OUTGOING_BURSTS_LONGEST,FIRST_INCOMING_BURST_0,FIRST_INCOMING_BURST_1,FIRST_INCOMING_BURST_2,FIRST_INCOMING_BURST_3,FIRST_INCOMING_BURST_4,FIRST_INCOMING_BURST_5,FIRST_INCOMING_BURST_6,FIRST_INCOMING_BURST_7,FIRST_INCOMING_BURST_8,FIRST_INCOMING_BURST_9,FIRST_OUTGOING_BURST_0,FIRST_OUTGOING_BURST_1,FIRST_OUTGOING_BURST_2,FIRST_OUTGOING_BURST_3,FIRST_OUTGOING_BURST_4,FIRST_OUTGOING_BURST_5,FIRST_OUTGOING_BURST_6,FIRST_OUTGOING_BURST_7,FIRST_OUTGOING_BURST_8,FIRST_OUTGOING_BURST_9,SIZE_583,SIZE_595,SIZE_1500,SIZE_1097,SIZE_1138,SIZE_1109,SIZE_151,SIZE_1126,SIZE_233,TOT_IN_PACKETS,TOT_OUT_PACKETS,TOT_PACKETS,TOT_BYTES,IP_SRC,IP_DST
instagram,web_and_social,0.03267863834422658,0.000105,4.108919,0.25692448096090076,0.24037032258064514,0.000134,4.108919,0.6856434156570481,0.0377821032745592,0.000126,4.406963,0.29708397623035515,2.458002,1.663708,3.434161,0.734135371245658,3.8127445,3.516570,4.108919,0.2961745,14.999495,41064.44916978871622011274380,30.60103023468456771377969725,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,10.54054054054054,37,29,3.375,8,9,3,11,29,14,16,15,23,16,16,11,2,2,4,3,2,2,9,3,0,0,51,2,366,2,0,0,1,1,1,397,62,459,615946,192.168.37.39,94.23.150.81
instagram,web_and_social,0.023911537480063794,0.000067,1.982384,0.13192423252836288,0.19831897333333331,0.000132,2.649180,0.4225559171189843,0.027160387681159418,0.000067,1.982384,0.15208426824453775,14.992534,14.992534,14.992534,0.0,0.0,0,0,0.0,14.992534,57577.19142074315122446945927,41.82081561395825415503476597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.666666666666666,51,32,2.888888888888889,9,5,19,3,11,2,13,22,4,6,15,14,3,2,2,2,2,3,5,3,4,0,42,2,510,0,0,0,1,7,1,552,75,627,863228,192.168.37.39,94.23.150.81
instagram,web_and_social,0.06788608636363637,0.000139,6.396852,0.5895189002129206,0.6173822083333333,0.000154,12.489429,2.47616015376801,0.043561668367346935,0.000139,6.033453,0.429990338811931,1.2523170000000001,0.001053,2.503581,1.2512640000000002,6.2151525,6.033453,6.396852,0.18169950000000012,14.934939,20208.18431196806361244595642,14.73055899324396303192132221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.210526315789474,19,26,2.5,2,3,26,4,25,2,6,4,10,2,11,3,3,2,0,0,0,0,0,0,0,0,16,0,180,2,0,0,0,1,0,196,24,220,301808,192.168.37.39,94.23.150.81
instagram,web_and_social,0.8063689444444444,0.000108,3.996231,1.3342298106634183,0.9188623333333332,0.960923,1.795664,0.7336798234399586,0.9676427333333335,0.000108,5.681553,1.7512256860353348,0.898595,0.002199,3.007592,1.23094368720608,3.640087,3.355819,3.996231,0.26634126225327287,14.514641,935.4692272444079050938979476,1.240127124053567704499201875,-1,-1,-1,-1,-1,-1,1,1,-1,-1,5.0,3,6,2.0,1,2,6,3,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,15,3,18,13578,192.168.37.39,94.23.150.81
instagram,web_and_social,0.02210946460176991,0.000123,2.276781,0.1239365881313072,0.15947039361702128,0.000128,3.038574,0.4110614070564883,0.025154986301369867,0.000123,2.276781,0.13554569471509512,6.356718000000001,6.245008,6.468428,0.11170999999999998,2.276781,2.276781,2.276781,0.0,14.990217,60143.62567266371127249191923,45.22949867903846888940967299,1,1,1,1,-1,-1,-1,1,-1,-1,9.879310344827585,58,25,2.7142857142857144,14,6,3,10,2,10,25,6,15,14,3,3,4,2,3,2,2,2,2,3,2,2,59,0,528,8,0,0,2,10,0,584,94,678,901566,192.168.37.39,94.23.150.81
instagram,web_and_social,0.11002994845360825,0.000108,7.396359,0.7614983699260752,0.7603485714285715,0.000141,7.685272,2.0083996805039193,0.0394764578313253,0.000108,1.566834,0.18404292157919264,3.276546,3.276546,3.276546,0.0,7.396359,7.396359,7.396359,0.0,10.672905,12300.30624277082949768596273,9.088434685776740259563820722,-1,-1,-1,-1,-1,-1,-1,1,1,-1,8.2,10,22,2.5,2,3,7,6,3,10,10,11,6,3,4,22,2,3,0,0,0,0,0,0,0,0,7,1,79,0,2,0,2,0,0,83,14,97,131280,192.168.37.39,94.23.150.81
instagram,web_and_social,0.5187952499999999,0.000139,3.563478,0.9730166322822554,1.1174051538461538,0.000172,3.723544,1.2960353313178943,0.8570521333333333,0.000139,4.018617,1.3379414464791732,1.27467125,0.036033,2.340157,0.9740484242978824,3.1425273333333337,2.780126,3.563478,0.32247078141679053,14.526267,1261.301337776594633707338575,1.927542705913363701768664998,1,-1,1,-1,-1,-1,1,1,1,-1,2.4,5,3,2.3333333333333335,3,3,3,3,2,2,2,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,23,0,2,0,0,0,2,0,0,15,13,28,18322,192.168.37.39,94.23.150.81
instagram,web_and_social,0.011425746189024389,0.000095,1.730998,0.0548992915623057,0.12560650420168065,0.000126,2.003679,0.20757697297470742,0.012565447611064543,0.000119,1.730998,0.06082587378144758,14.990579,14.990579,14.990579,0.0,0.0,0,0,0.0,14.990579,123582.2178716379133854669656,87.52163608890623904520299049,-1,-1,-1,1,1,1,-1,1,1,1,13.177777777777777,90,43,2.9166666666666665,12,5,3,3,3,4,2,3,15,9,4,6,3,3,2,3,2,2,2,5,2,3,76,1,1163,4,0,0,2,12,0,1193,119,1312,1852569,192.168.37.39,94.23.150.81
instagram,web_and_social,0.014732679679679677,0.000066,5.378091,0.1818124879606567,0.17069424324324325,0.000146,5.415196,0.6158127062930481,0.015911294054054052,0.000066,7.417226,0.2437630256886921,3.6503605,0.000788,7.299933,3.6495725,7.417226,7.417226,7.417226,0.0,14.717947,98135.15431194309912924676247,67.87631454305413655858388402,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,13.333333333333334,69,35,2.0,1,2,7,18,10,2,20,9,21,11,12,8,2,0,0,0,0,0,0,0,0,0,39,3,930,3,1,0,0,9,0,925,74,999,1444348,192.168.37.39,94.23.150.81
instagram,web_and_social,0.025339085034013605,0.000125,3.749652,0.17060006235657596,0.25633908620689655,0.000126,3.958665,0.5539195662596873,0.02811204150943396,0.000125,3.947351,0.18982920190855723,5.574865000000001,0.222416,10.927314,5.352449000000001,3.749652,3.749652,3.749652,0.0,14.899382,54488.77007113449403471902392,39.46472410734888198718577724,-1,-1,1,-1,1,-1,-1,1,-1,-1,10.54,50,26,2.2,5,3,2,2,2,3,19,7,11,26,2,10,2,3,2,2,2,0,0,0,0,0,51,2,497,1,0,0,0,6,0,530,58,588,811849,192.168.37.39,94.23.150.81
